Reactions,Subsystems
ALAR,Alanine and Aspartate Metabolism
ALATA_L,Alanine and Aspartate Metabolism
ASNN,Alanine and Aspartate Metabolism
ASNNpp,Alanine and Aspartate Metabolism
ASNS1,Alanine and Aspartate Metabolism
ASNS2,Alanine and Aspartate Metabolism
ASPT,Alanine and Aspartate Metabolism
ASPTA,Alanine and Aspartate Metabolism
DAAD,Alanine and Aspartate Metabolism
2DGULRGx,Alternate Carbon Metabolism
2DGULRGy,Alternate Carbon Metabolism
2DGULRx,Alternate Carbon Metabolism
2DGULRy,Alternate Carbon Metabolism
3HCINNMH,Alternate Carbon Metabolism
3HPPPNH,Alternate Carbon Metabolism
3KGK,Alternate Carbon Metabolism
3OXCOAT,Alternate Carbon Metabolism
5DGLCNR,Alternate Carbon Metabolism
A5PISO,Alternate Carbon Metabolism
AAMYL,Alternate Carbon Metabolism
AAMYLpp,Alternate Carbon Metabolism
AB6PGH,Alternate Carbon Metabolism
ACACCT,Alternate Carbon Metabolism
ACCOAL,Alternate Carbon Metabolism
ACGAL1PPpp,Alternate Carbon Metabolism
ACGAM1PPpp,Alternate Carbon Metabolism
ACM6PH,Alternate Carbon Metabolism
ACNML,Alternate Carbon Metabolism
ADNUC,Alternate Carbon Metabolism
AGDC,Alternate Carbon Metabolism
ALCD19,Alternate Carbon Metabolism
ALDD19xr,Alternate Carbon Metabolism
ALDD2x,Alternate Carbon Metabolism
ALDD2y,Alternate Carbon Metabolism
ALDD3y,Alternate Carbon Metabolism
ALDD4,Alternate Carbon Metabolism
ALLK,Alternate Carbon Metabolism
ALLPI,Alternate Carbon Metabolism
ALLTAMH,Alternate Carbon Metabolism
ALLULPE,Alternate Carbon Metabolism
ALTRH,Alternate Carbon Metabolism
AMALT1,Alternate Carbon Metabolism
AMALT2,Alternate Carbon Metabolism
AMALT3,Alternate Carbon Metabolism
AMALT4,Alternate Carbon Metabolism
AMANAPEr,Alternate Carbon Metabolism
AMANK,Alternate Carbon Metabolism
ARAI,Alternate Carbon Metabolism
ASCBPL,Alternate Carbon Metabolism
BUTCT,Alternate Carbon Metabolism
CINNDO,Alternate Carbon Metabolism
CYTDH,Alternate Carbon Metabolism
DAPAL,Alternate Carbon Metabolism
DC6PH,Alternate Carbon Metabolism
DDGALK,Alternate Carbon Metabolism
DDGLK,Alternate Carbon Metabolism
DDPGALA,Alternate Carbon Metabolism
DHACOAH,Alternate Carbon Metabolism
DHAPT,Alternate Carbon Metabolism
DHCIND,Alternate Carbon Metabolism
DHCINDO,Alternate Carbon Metabolism
DHPPD,Alternate Carbon Metabolism
DHPTDNR,Alternate Carbon Metabolism
DHPTDNRN,Alternate Carbon Metabolism
DKGLCNR1,Alternate Carbon Metabolism
DKGLCNR2x,Alternate Carbon Metabolism
DKGLCNR2y,Alternate Carbon Metabolism
DOGULNR,Alternate Carbon Metabolism
DRPA,Alternate Carbon Metabolism
DTARTD,Alternate Carbon Metabolism
F6PP,Alternate Carbon Metabolism
FCI,Alternate Carbon Metabolism
FCLK,Alternate Carbon Metabolism
FCLPA,Alternate Carbon Metabolism
FFSD,Alternate Carbon Metabolism
FORCT,Alternate Carbon Metabolism
FRUK,Alternate Carbon Metabolism
FRULYSDG,Alternate Carbon Metabolism
FRULYSE,Alternate Carbon Metabolism
FRULYSK,Alternate Carbon Metabolism
G2PP,Alternate Carbon Metabolism
G2PPpp,Alternate Carbon Metabolism
G3PD2,Alternate Carbon Metabolism
G3PT,Alternate Carbon Metabolism
G6PDA,Alternate Carbon Metabolism
GAL1PPpp,Alternate Carbon Metabolism
GALCTD,Alternate Carbon Metabolism
GALCTLO,Alternate Carbon Metabolism
GALCTND,Alternate Carbon Metabolism
GALKr,Alternate Carbon Metabolism
GALM2pp,Alternate Carbon Metabolism
GALS3,Alternate Carbon Metabolism
GGGABADr,Alternate Carbon Metabolism
GGGABAH,Alternate Carbon Metabolism
GGPTRCO,Alternate Carbon Metabolism
GGPTRCS,Alternate Carbon Metabolism
GLCATr,Alternate Carbon Metabolism
GLCRAL,Alternate Carbon Metabolism
GLCRD,Alternate Carbon Metabolism
GLTPD,Alternate Carbon Metabolism
GLYCDx,Alternate Carbon Metabolism
GLYCTO2,Alternate Carbon Metabolism
GLYCTO3,Alternate Carbon Metabolism
GLYCTO4,Alternate Carbon Metabolism
GLYK,Alternate Carbon Metabolism
GNK,Alternate Carbon Metabolism
GUI1,Alternate Carbon Metabolism
GUI2,Alternate Carbon Metabolism
GUR1PPpp,Alternate Carbon Metabolism
HADPCOADH3,Alternate Carbon Metabolism
HEX4,Alternate Carbon Metabolism
HEX7,Alternate Carbon Metabolism
HKNDDH,Alternate Carbon Metabolism
HKNTDH,Alternate Carbon Metabolism
HOPNTAL,Alternate Carbon Metabolism
HPPPNDO,Alternate Carbon Metabolism
HPYRI,Alternate Carbon Metabolism
HPYRRx,Alternate Carbon Metabolism
HPYRRy,Alternate Carbon Metabolism
HXCT,Alternate Carbon Metabolism
IDOND,Alternate Carbon Metabolism
IDOND2,Alternate Carbon Metabolism
KG6PDC,Alternate Carbon Metabolism
LACZ,Alternate Carbon Metabolism
LACZpp,Alternate Carbon Metabolism
LCADi,Alternate Carbon Metabolism
LCARS,Alternate Carbon Metabolism
LYXI,Alternate Carbon Metabolism
M1PD,Alternate Carbon Metabolism
MALDDH,Alternate Carbon Metabolism
MALTATr,Alternate Carbon Metabolism
MAN6PI,Alternate Carbon Metabolism
MANAO,Alternate Carbon Metabolism
MANPGH,Alternate Carbon Metabolism
MCITD,Alternate Carbon Metabolism
MCITL2,Alternate Carbon Metabolism
MCITS,Alternate Carbon Metabolism
MICITDr,Alternate Carbon Metabolism
MLTG1,Alternate Carbon Metabolism
MLTG2,Alternate Carbon Metabolism
MLTG3,Alternate Carbon Metabolism
MLTG4,Alternate Carbon Metabolism
MLTG5,Alternate Carbon Metabolism
MLTP1,Alternate Carbon Metabolism
MLTP2,Alternate Carbon Metabolism
MLTP3,Alternate Carbon Metabolism
MMCD,Alternate Carbon Metabolism
MMM,Alternate Carbon Metabolism
MN6PP,Alternate Carbon Metabolism
MNNH,Alternate Carbon Metabolism
OBTFL,Alternate Carbon Metabolism
OP4ENH,Alternate Carbon Metabolism
OXCDC,Alternate Carbon Metabolism
OXCOAHDH,Alternate Carbon Metabolism
OXDHCOAT,Alternate Carbon Metabolism
PACCOAE,Alternate Carbon Metabolism
PACCOAL,Alternate Carbon Metabolism
PFK_2,Alternate Carbon Metabolism
PGLYCP,Alternate Carbon Metabolism
PGMT,Alternate Carbon Metabolism
PHYTSpp,Alternate Carbon Metabolism
PMANM,Alternate Carbon Metabolism
PPAKr,Alternate Carbon Metabolism
PPCSCT,Alternate Carbon Metabolism
PPM,Alternate Carbon Metabolism
PPM2,Alternate Carbon Metabolism
PPPNDO,Alternate Carbon Metabolism
